repos,stars,followers,recent_commits,project_type,has_readme,has_demo,has_tests,strong_project
0,0,0,0,4,0,0,0,0
1,0,0,0,4,0,0,0,0
2,0,0,1,0,0,0,0,0
3,1,0,1,1,1,0,0,0
4,1,1,2,4,1,0,0,0
5,2,1,3,0,1,0,0,0
6,2,2,4,2,1,0,0,0
7,3,2,6,0,1,1,0,1
8,4,3,8,1,1,1,0,1
9,5,4,10,2,1,1,1,1
10,6,5,12,0,1,1,1,1
12,8,6,15,3,1,1,1,1
14,10,8,18,2,1,1,1,1
16,15,10,20,0,1,1,1,1
18,20,12,24,1,1,1,1,1
20,30,18,30,2,1,1,1,1
25,45,25,35,0,1,1,1,1
30,60,35,40,3,1,1,1,1
2,10,1,0,4,0,0,0,0
4,8,2,0,0,1,0,0,0
6,0,0,12,1,0,0,0,0
8,1,1,15,4,1,0,0,0
10,2,2,20,0,1,0,1,0
12,3,3,22,2,1,1,0,1
14,4,4,5,1,1,1,1,1
16,5,5,2,0,1,1,1,1
18,6,6,0,2,1,1,1,1
20,0,1,0,4,1,0,0,0
22,12,8,6,0,1,1,0,1
24,14,10,8,1,1,1,1,1
26,18,12,10,2,1,1,1,1
28,25,14,14,3,1,1,1,1
30,35,20,16,0,1,1,1,1
1,5,0,1,4,0,0,0,0
2,1,0,20,4,0,0,0,0
3,0,0,15,0,1,0,0,0
4,0,0,30,1,1,0,0,0
5,1,1,25,2,1,1,0,0
6,2,2,25,3,1,1,1,1
7,8,4,25,0,1,1,1,1
8,12,5,30,1,1,1,1,1
9,16,6,35,2,1,1,1,1
10,20,8,40,3,1,1,1,1
12,25,10,45,0,1,1,1,1
15,30,12,50,1,1,1,1,1
18,40,16,55,2,1,1,1,1
20,50,20,60,3,1,1,1,1
22,60,25,70,0,1,1,1,1
24,70,30,80,2,1,1,1,1
26,80,35,90,1,1,1,1,1
